subs,deg,divs,steps,pri,cond,iter,errBmax,errAmax,errEmax,errBa,errEa
2,2,2,1024,4,1.0978e+01,8.000000,1.1978e-02,1.0132e-02,7.2741e-03,1.4337e-02,3.3639e-03
2,2,2,2048,4,1.1730e+01,8.000000,1.1978e-02,1.0132e-02,1.1347e-02,1.4335e-02,3.3632e-03
2,2,2,4096,4,1.2528e+01,8.000000,1.1978e-02,1.0132e-02,2.0779e-02,1.4335e-02,3.3694e-03
2,2,2,8192,4,1.3057e+01,8.000000,1.1978e-02,1.0132e-02,4.0546e-02,1.4334e-02,3.3837e-03
2,2,3,2,9,1.1569e+00,5.000000,2.4402e-02,3.7743e-02,1.5648e-01,3.4897e-02,1.5648e-01
2,2,3,4,9,1.4359e+00,5.000000,1.2202e-02,1.4192e-02,7.5831e-02,1.5977e-02,6.0840e-02
2,2,3,8,9,1.9606e+00,7.000000,6.7754e-03,6.3241e-03,3.4073e-02,8.7996e-03,2.7092e-02
2,2,3,16,9,2.9784e+00,8.000000,5.2759e-03,4.3899e-03,1.7032e-02,6.6669e-03,1.2904e-02
2,2,3,32,9,4.6932e+00,8.000000,5.1814e-03,4.3899e-03,8.6836e-03,6.3164e-03,6.4225e-03
2,2,3,64,9,7.3314e+00,9.000000,5.1814e-03,4.3899e-03,4.6730e-03,6.2393e-03,3.4181e-03
2,2,3,128,9,1.0857e+01,10.000000,5.1814e-03,4.3899e-03,2.9258e-03,6.2155e-03,2.1177e-03
2,2,3,256,9,1.4819e+01,11.000000,5.1814e-03,4.3899e-03,2.3333e-03,6.2071e-03,1.6451e-03
2,2,3,512,9,1.8659e+01,11.000000,5.1814e-03,4.3899e-03,2.2897e-03,6.2039e-03,1.5047e-03
2,2,3,1024,9,2.2032e+01,11.000000,5.1814e-03,4.3899e-03,2.4459e-03,6.2024e-03,1.4677e-03
2,2,3,2048,9,2.4745e+01,11.000000,5.1814e-03,4.3899e-03,3.0054e-03,6.2018e-03,1.4586e-03
2,2,3,4096,9,2.6973e+01,12.000000,5.1814e-03,4.3899e-03,4.6011e-03,6.2015e-03,1.4568e-03
2,2,3,8192,9,2.8454e+01,12.000000,5.1814e-03,4.3899e-03,8.3453e-03,6.2013e-03,1.4576e-03
2,2,4,2,16,1.1846e+00,5.000000,2.4379e-02,3.7946e-02,1.5642e-01,3.4597e-02,1.5642e-01
2,2,4,4,16,1.5144e+00,6.000000,1.1820e-02,1.4255e-02,7.5766e-02,1.5313e-02,6.0802e-02
2,2,4,8,16,2.0683e+00,7.000000,5.7244e-03,6.3229e-03,3.3979e-02,7.4009e-03,2.7052e-02
2,2,4,16,16,3.2612e+00,9.000000,3.6161e-03,3.0150e-03,1.6939e-02,4.5804e-03,1.2840e-02
2,2,4,32,16,5.3746e+00,10.000000,2.9286e-03,2.4465e-03,8.5214e-03,3.6444e-03,6.3039e-03
2,2,4,64,16,8.9031e+00,11.000000,2.8867e-03,2.4465e-03,4.3647e-03,3.4990e-03,3.1954e-03
2,2,4,128,16,1.4050e+01,12.000000,2.8867e-03,2.4465e-03,2.3893e-03,3.4685e-03,1.7383e-03
2,2,4,256,16,2.0810e+01,13.000000,2.8867e-03,2.4465e-03,1.5470e-03,3.4595e-03,1.1162e-03
2,2,4,512,16,2.8198e+01,13.000000,2.8867e-03,2.4465e-03,1.2764e-03,3.4566e-03,8.9695e-04
2,2,4,1024,16,3.5637e+01,14.000000,2.8867e-03,2.4465e-03,1.2822e-03,3.4556e-03,8.3330e-04
2,2,4,2048,16,4.1828e+01,14.000000,2.8867e-03,2.4465e-03,1.3894e-03,3.4551e-03,8.1669e-04
2,2,4,4096,16,4.6896e+01,15.886691,2.8867e-03,2.4465e-03,1.7605e-03,3.4549e-03,8.1254e-04
2,2,4,8192,16,5.0265e+01,15.896350,2.8867e-03,2.4465e-03,2.7889e-03,3.4548e-03,8.1170e-04
2,2,6,2,36,1.2223e+00,5.000000,2.4373e-02,3.8137e-02,1.5636e-01,3.4492e-02,1.5636e-01
2,2,6,4,36,1.6220e+00,6.000000,1.1681e-02,1.4322e-02,7.5724e-02,1.5067e-02,6.0776e-02
2,2,6,8,36,2.3024e+00,8.000000,5.3856e-03,6.3421e-03,3.3932e-02,6.8964e-03,2.7031e-02
2,2,6,16,36,3.5311e+00,9.000000,2.8284e-03,3.0026e-03,1.6902e-02,3.5703e-03,1.2814e-02
2,2,6,32,36,6.0741e+00,12.000000,1.7229e-03,1.4716e-03,8.4603e-03,2.1560e-03,6.2588e-03
2,2,6,64,36,1.0718e+01,14.000000,1.3301e-03,1.0790e-03,4.2473e-03,1.6482e-03,3.1096e-03
2,2,6,128,36,1.8600e+01,16.000000,1.2728e-03,1.0790e-03,2.1687e-03,1.5444e-03,1.5775e-03
2,2,6,256,36,3.0703e+01,17.000000,1.2728e-03,1.0790e-03,1.1658e-03,1.5292e-03,8.4571e-04
2,2,6,512,36,4.6103e+01,18.990215,1.2728e-03,1.0790e-03,7.2519e-04,1.5251e-03,5.2388e-04
2,2,6,1024,36,6.2751e+01,21.035191,1.2728e-03,1.0790e-03,5.7247e-04,1.5239e-03,4.0564e-04
2,2,6,2048,36,7.8279e+01,22.146556,1.2728e-03,1.0790e-03,5.6061e-04,1.5236e-03,3.7032e-04
2,2,6,4096,36,9.2078e+01,23.995116,1.2728e-03,1.0790e-03,5.9942e-04,1.5234e-03,3.6094e-04
2,2,6,8192,36,1.0620e+02,25.538396,1.2728e-03,1.0790e-03,7.3688e-04,1.5234e-03,3.5857e-04
2,2,8,2,64,1.2483e+00,5.000000,2.4372e-02,3.8203e-02,1.5635e-01,3.4475e-02,1.5635e-01
2,2,8,4,64,1.6972e+00,7.000000,1.1658e-02,1.4346e-02,7.5713e-02,1.5027e-02,6.0768e-02
2,2,8,8,64,2.4475e+00,8.000000,5.3275e-03,6.3510e-03,3.3922e-02,6.8095e-03,2.7027e-02
2,2,8,16,64,3.6776e+00,9.000000,2.6938e-03,3.0033e-03,1.6895e-02,3.3885e-03,1.2809e-02
2,2,8,32,64,6.3931e+00,12.000000,1.4528e-03,1.4648e-03,8.4497e-03,1.8138e-03,6.2509e-03
2,2,8,64,64,1.1599e+01,16.000000,9.1469e-04,7.2928e-04,4.2280e-03,1.1375e-03,3.0950e-03
2,2,8,128,64,2.0929e+01,18.000000,7.3408e-04,6.0521e-04,2.1302e-03,9.0496e-04,1.5492e-03
